koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
38.036729482,3.484e-06,7.16e-05,0.501,0.003,-0.005,4.34617,0.00645,82871.6,83.3,27.5,5.28,500.0,14.81,8.85,1300.0,1.0,0.038,-0.152,0.932,0.179,-0.077,0
4.64090031,1.485e-05,0.00261,1.28,0.098,-0.07,35.512,0.274,2450.6,11.7,30.09,5.79,1155.0,421.08,257.38,296.9,1.0,0.087,-0.163,0.826,0.159,-0.086,1
3.747838198,3.896e-06,0.000902,1.121,1.104,-0.035,5.0642,0.0445,616.0,5.3,13.65,3.11,1031.0,266.76,180.49,138.2,1.0,0.029,-0.162,0.826,0.188,-0.063,0
14.74914825,2.174e-05,0.00118,0.173,0.262,-0.173,6.0995,0.044,430.2,4.2,2.89,0.13,874.0,137.91,19.38,107.4,1.0,0.02,-0.018,1.402,0.063,-0.046,2
21.81295996,7.229e-05,0.00261,0.053,0.394,-0.053,4.3791,0.091,1175.4,35.8,3.38,0.91,639.0,39.33,31.88,37.8,1.0,0.116,-0.188,0.999,0.269,-0.145,2
7.91936937,2.04e-06,0.000202,0.733,0.01,-0.011,3.3148,0.0209,15148.1,49.8,10.34,2.59,814.0,104.0,77.2,389.0,1.0,0.04,-0.16,0.776,0.195,-0.065,0
15.37562369,1.017e-05,0.000608,0.692,0.033,-0.066,3.3169,0.0645,15337.0,114.0,11.01,0.44,600.0,30.54,4.61,166.0,1.0,0.075,-0.025,0.833,0.033,-0.062,2
8.10363271,2.032e-05,0.00205,0.047,0.409,-0.047,3.161,0.0635,887.9,24.5,2.11,0.18,687.0,52.82,16.3,39.3,1.0,0.054,-0.041,0.732,0.062,-0.068,2
4.71510843,1.941e-05,0.00324,0.258,0.195,-0.258,2.506,0.103,417.5,22.0,1.46,0.12,823.0,108.84,33.58,21.3,2.0,0.054,-0.041,0.732,0.062,-0.068,2
6.365839713,8.06e-06,0.001,0.524,0.009,-0.46,2.9721,0.0408,780.7,13.1,2.44,0.6,914.0,165.33,121.73,70.8,1.0,0.042,-0.168,0.849,0.212,-0.071,2
5.97581754,1.118e-05,0.00137,0.941,0.017,-0.618,3.065,0.185,962.4,23.5,3.86,1.32,1047.0,284.25,295.54,50.3,1.0,0.054,-0.216,0.997,0.341,-0.114,0
